clube,numero_jogadores,media_idade,estrangeiros,media_valor_mercado_,valor_mercado_total,posicao_final,v,e,d,gols_pro,gols_contra,sg,pontos,temporada,log_valor_mercado_total,faixa,variacao_valor_percentual,perfil_etario,custo_por_ponto,pontos_proximo_ano,posicao_proximo_ano
americamg,58.0,23.5,2.0,0.608,35.25,20,7,7,24,23,58,-35,28,2016,3.590439381300684,bottom4,0.0,Equilibrado(23 - 28),1.2589285714285714,40.0,18.0
americamg,59.0,24.3,1.0,0.521,30.75,18,10,10,18,30,47,-17,40,2018,3.457892725338701,bottom4,-12.765957446808507,Equilibrado(23 - 28),0.76875,53.0,9.0
americamg,57.0,23.9,2.0,0.297,16.95,9,13,14,11,41,37,4,53,2021,2.8875901149342877,top10,-44.87804878048781,Equilibrado(23 - 28),0.31981132075471697,53.0,11.0
americamg,56.0,24.4,7.0,0.439,24.58,11,15,8,15,40,40,0,53,2022,3.2418107961506966,meio,45.01474926253688,Equilibrado(23 - 28),0.46377358490566034,24.0,20.0
americamg,54.0,25.1,8.0,0.633,34.18,20,5,9,24,42,81,-39,24,2023,3.560477739309412,bottom4,39.05614320585844,Equilibrado(23 - 28),1.4241666666666666,,
athleticopr,68.0,22.3,6.0,0.543,36.95,5,18,10,10,51,32,19,64,2019,3.636269503841639,top5,0.0,Jovem (Sub-23),0.57734375,53.0,9.0
athleticopr,71.0,22.1,5.0,0.435,30.85,9,15,8,15,38,36,2,53,2020,3.4610373820181723,top10,-16.508795669824096,Jovem (Sub-23),0.5820754716981132,47.0,14.0
athleticopr,63.0,21.5,5.0,0.498,31.35,14,13,8,17,41,45,-4,47,2021,3.4766140209469096,meio,1.620745542949753,Jovem (Sub-23),0.6670212765957447,58.0,7.0
athleticopr,67.0,21.9,9.0,1.06,70.93,7,16,10,12,48,48,0,58,2022,4.2756934238792645,top10,126.25199362041468,Jovem (Sub-23),1.2229310344827586,56.0,8.0
athleticopr,53.0,22.5,8.0,1.09,57.73,8,14,14,10,51,43,8,56,2023,4.072950669534428,top10,-18.60989708162979,Jovem (Sub-23),1.030892857142857,42.0,17.0
athleticopr,54.0,22.4,9.0,1.2,64.6,17,11,9,18,40,46,-6,42,2024,4.183575695950044,bottom4,11.900225186211678,Jovem (Sub-23),1.538095238095238,,
atleticogo,57.0,23.2,0.0,0.276,15.73,20,9,9,20,38,56,-18,36,2017,2.8172035149987327,bottom4,0.0,Equilibrado(23 - 28),0.43694444444444447,50.0,13.0
atleticogo,67.0,21.6,1.0,0.317,21.25,13,12,14,12,40,45,-5,50,2020,3.1023420086122493,meio,35.092180546726006,Jovem (Sub-23),0.425,53.0,8.0
atleticogo,63.0,22.1,1.0,0.392,24.7,8,13,14,11,33,36,-3,53,2021,3.246490991901174,top10,16.235294117647058,Jovem (Sub-23),0.4660377358490566,36.0,18.0
atleticogo,52.0,22.9,3.0,0.319,16.58,18,8,12,18,39,57,-18,36,2022,2.866761892257031,bottom4,-32.87449392712551,Jovem (Sub-23),0.4605555555555555,30.0,19.0
atleticogo,55.0,24.1,11.0,0.593,32.6,19,7,9,22,29,58,-29,30,2024,3.5145260669691587,bottom4,96.62243667068759,Equilibrado(23 - 28),1.0866666666666667,,
atleticomg,61.0,22.9,6.0,0.862,52.6,4,17,11,9,61,50,11,62,2016,3.9815490680767565,top5,0.0,Jovem (Sub-23),0.8483870967741935,54.0,8.0
atleticomg,57.0,23.9,4.0,1.54,87.93,8,14,12,12,52,49,3,54,2017,4.487849543411548,top10,67.16730038022814,Equilibrado(23 - 28),1.6283333333333334,59.0,6.0
atleticomg,61.0,23.2,6.0,1.16,70.95,6,17,8,13,56,43,13,59,2018,4.2759714333333765,top10,-19.310815421357898,Equilibrado(23 - 28),1.202542372881356,48.0,13.0
atleticomg,59.0,23.5,8.0,0.846,49.9,13,13,9,16,45,49,-4,48,2019,3.929862923556477,meio,-29.66878083157154,Equilibrado(23 - 28),1.0395833333333333,68.0,3.0
atleticomg,60.0,23.3,11.0,1.17,70.15,3,20,8,10,64,45,19,68,2020,4.264790324535862,top5,40.58116232464932,Equilibrado(23 - 28),1.0316176470588236,84.0,1.0
atleticomg,48.0,23.9,8.0,2.22,106.45,1,26,6,6,67,34,33,84,2021,4.67702562308852,top5,51.7462580185317,Equilibrado(23 - 28),1.2672619047619047,58.0,6.0
atleticomg,44.0,25.0,8.0,2.61,115.0,6,15,13,10,45,37,8,58,2022,4.7535901911063645,top10,8.031939877876937,Equilibrado(23 - 28),1.9827586206896552,66.0,4.0
atleticomg,40.0,25.7,7.0,3.46,138.4,4,19,9,10,52,32,20,66,2023,4.937347498326424,top5,20.347826086956534,Equilibrado(23 - 28),2.096969696969697,47.0,11.0
atleticomg,44.0,25.1,10.0,2.99,131.35,11,11,14,13,47,54,-7,47,2024,4.88544992867311,meio,-5.093930635838162,Equilibrado(23 - 28),2.7946808510638297,48.0,10.0
atleticomg,67.0,22.3,7.0,1.91,127.75,10,12,12,14,43,44,-1,48,2025,4.857872539543846,top10,-2.7407689379520317,Jovem (Sub-23),2.6614583333333335,,
atleticopr,67.0,22.5,6.0,0.437,29.3,6,17,6,15,38,32,6,57,2016,3.4111477125153233,top10,0.0,Jovem (Sub-23),0.5140350877192983,51.0,11.0
atleticopr,60.0,22.7,4.0,0.75,44.98,11,14,9,15,45,43,2,51,2017,3.828206519335035,meio,53.51535836177472,Jovem (Sub-23),0.8819607843137254,57.0,7.0
atleticopr,65.0,23.3,4.0,0.659,42.85,7,16,9,13,54,37,17,57,2018,3.780774718818192,top10,-4.735437972432177,Equilibrado(23 - 28),0.7517543859649123,,
avai,57.0,23.4,5.0,0.262,14.93,18,10,13,15,29,48,-19,43,2017,2.768204123921957,bottom4,0.0,Equilibrado(23 - 28),0.3472093023255814,20.0,20.0
avai,55.0,24.2,4.0,0.242,13.3,20,3,11,24,18,62,-44,20,2019,2.6602595372658615,bottom4,-10.917615539182846,Equilibrado(23 - 28),0.665,35.0,19.0
avai,64.0,25.2,3.0,0.505,32.3,19,9,8,21,34,60,-26,35,2022,3.505557396986398,bottom4,142.85714285714283,Equilibrado(23 - 28),0.9228571428571428,,
bahia,48.0,23.1,4.0,0.71,34.1,13,13,11,14,50,48,2,50,2017,3.55820113047182,meio,0.0,Equilibrado(23 - 28),0.682,48.0,11.0
bahia,52.0,23.2,2.0,0.753,39.15,11,12,12,14,39,41,-2,48,2018,3.6926224403927708,meio,14.80938416422286,Equilibrado(23 - 28),0.8156249999999999,49.0,11.0
bahia,59.0,23.9,1.0,0.744,43.9,11,12,13,13,44,43,1,49,2019,3.8044377947482086,meio,12.132822477650063,Equilibrado(23 - 28),0.8959183673469387,44.0,14.0
bahia,68.0,23.1,1.0,0.583,39.68,14,12,8,18,48,59,-11,44,2020,3.7057365711803594,meio,-9.6127562642369,Equilibrado(23 - 28),0.9018181818181819,43.0,18.0
bahia,74.0,23.0,6.0,0.41,30.35,18,11,10,17,42,51,-9,43,2021,3.4452142670789296,bottom4,-23.513104838709676,Jovem (Sub-23),0.7058139534883722,44.0,16.0
bahia,72.0,21.4,5.0,0.979,70.5,16,12,8,18,50,53,-3,44,2023,4.269697449699962,meio,132.28995057660623,Jovem (Sub-23),1.6022727272727273,53.0,8.0
bahia,63.0,22.3,7.0,1.22,76.95,8,15,8,15,49,49,0,53,2024,4.356067595503785,top10,9.148936170212774,Jovem (Sub-23),1.4518867924528303,60.0,7.0
bahia,72.0,22.1,6.0,1.38,99.08,7,17,9,12,50,46,4,60,2025,4.605969866158656,top10,28.758934372969456,Jovem (Sub-23),1.6513333333333333,,
botafogo,52.0,23.6,5.0,0.329,17.1,5,17,8,13,43,39,4,59,2016,2.89591193827178,top5,0.0,Equilibrado(23 - 28),0.2898305084745763,53.0,10.0
botafogo,52.0,23.3,5.0,0.585,30.4,10,14,11,13,45,42,3,53,2017,3.4468078929142076,top10,77.77777777777774,Equilibrado(23 - 28),0.5735849056603773,51.0,9.0
botafogo,46.0,23.0,4.0,0.557,25.6,9,13,12,13,38,46,-8,51,2018,3.280911215787653,top10,-15.78947368421052,Jovem (Sub-23),0.5019607843137255,43.0,15.0
botafogo,47.0,23.3,5.0,0.704,33.1,15,13,4,21,31,45,-14,43,2019,3.529297384289471,meio,29.296875,Equilibrado(23 - 28),0.7697674418604652,27.0,20.0
botafogo,64.0,22.3,9.0,0.488,31.25,20,5,12,21,32,62,-30,27,2020,3.4735180432417816,bottom4,-5.58912386706949,Jovem (Sub-23),1.1574074074074074,53.0,10.0
botafogo,62.0,24.0,6.0,1.35,83.45,10,15,8,15,41,43,-2,53,2022,4.436159643253809,top10,167.04,Equilibrado(23 - 28),1.5745283018867926,64.0,5.0
botafogo,64.0,24.1,14.0,1.98,126.43,5,18,10,10,58,37,21,64,2023,4.847567194224188,top5,51.50389454763331,Equilibrado(23 - 28),1.97546875,79.0,1.0
botafogo,59.0,24.2,12.0,2.23,131.43,1,23,10,5,59,29,30,79,2024,4.8860542039388735,top5,3.9547575733607454,Equilibrado(23 - 28),1.6636708860759495,63.0,6.0
botafogo,82.0,23.2,17.0,2.62,214.65,6,17,12,9,58,38,20,63,2025,5.373656723093852,top10,63.3188769687286,Equilibrado(23 - 28),3.407142857142857,,
bragantino,42.0,22.4,5.0,0.368,15.48,10,13,14,11,50,40,10,53,2020,2.8021475244813256,top10,0.0,Jovem (Sub-23),0.2920754716981132,56.0,6.0
bragantino,44.0,21.7,5.0,0.768,33.8,6,14,14,10,55,46,9,56,2021,3.5496173867804286,top10,118.34625322997412,Jovem (Sub-23),0.6035714285714285,44.0,14.0
bragantino,47.0,21.4,6.0,1.05,49.28,14,11,11,16,49,59,-10,44,2022,3.917607383722047,meio,45.798816568047364,Jovem (Sub-23),1.12,62.0,6.0
bragantino,49.0,21.4,7.0,1.55,75.85,6,17,11,10,49,35,14,62,2023,4.341855469984605,top10,53.91639610389609,Jovem (Sub-23),1.2233870967741935,44.0,16.0
bragantino,61.0,21.0,9.0,1.22,74.25,16,10,14,14,44,48,-4,44,2024,4.3208159036289855,meio,-2.109426499670397,Jovem (Sub-23),1.6875,48.0,11.0
bragantino,52.0,22.5,9.0,1.66,86.53,11,14,6,18,45,57,-12,48,2025,4.471981591744346,meio,16.53872053872054,Jovem (Sub-23),1.8027083333333334,,
ceara,65.0,25.0,2.0,0.496,32.25,15,10,14,14,32,38,-6,44,2018,3.504054767101863,meio,0.0,Equilibrado(23 - 28),0.7329545454545454,39.0,16.0
ceara,48.0,25.6,0.0,0.461,22.15,16,10,9,19,36,41,-5,39,2019,3.141994780532243,meio,-31.317829457364343,Equilibrado(23 - 28),0.5679487179487179,52.0,11.0
ceara,48.0,24.8,0.0,0.484,23.25,11,14,10,14,54,51,3,52,2020,3.188416617383492,meio,4.966139954853288,Equilibrado(23 - 28),0.44711538461538464,50.0,11.0
ceara,69.0,22.6,2.0,0.318,21.93,11,11,17,10,39,38,1,50,2021,3.132446096869813,meio,-5.677419354838708,Jovem (Sub-23),0.4386,37.0,17.0
ceara,52.0,24.5,2.0,0.532,27.65,17,7,16,15,34,41,-7,37,2022,3.3551534431607486,bottom4,26.082991336069306,Equilibrado(23 - 28),0.7472972972972972,43.0,18.0
ceara,48.0,25.7,5.0,0.744,35.73,18,11,10,17,34,40,-6,43,2025,3.6035938598315758,bottom4,29.222423146473766,Equilibrado(23 - 28),0.8309302325581395,,
chapecoense,63.0,25.4,2.0,0.348,21.9,11,13,13,11,49,53,-4,52,2016,3.131136910560194,meio,0.0,Equilibrado(23 - 28),0.4211538461538461,54.0,9.0
chapecoense,62.0,23.0,6.0,0.637,39.48,9,15,9,14,47,49,-2,54,2017,3.70080802497921,top10,80.27397260273972,Jovem (Sub-23),0.731111111111111,44.0,14.0
chapecoense,57.0,24.3,5.0,0.569,32.45,14,11,11,16,34,50,-16,44,2018,3.5100517865742376,meio,-17.80648429584598,Equilibrado(23 - 28),0.7375,32.0,18.0
chapecoense,58.0,25.1,2.0,0.57,33.05,18,7,11,20,31,52,-21,32,2019,3.527830032595521,bottom4,1.8489984591679276,Equilibrado(23 - 28),1.0328125,15.0,20.0
chapecoense,53.0,23.1,0.0,0.259,13.75,20,1,12,25,27,67,-40,15,2021,2.691243082785829,bottom4,-58.39636913767019,Equilibrado(23 - 28),0.9166666666666666,,
corinthians,44.0,23.2,2.0,0.77,33.9,7,15,10,13,48,42,6,55,2016,3.5524868292083815,top10,0.0,Equilibrado(23 - 28),0.6163636363636363,72.0,1.0
corinthians,43.0,23.5,3.0,1.31,56.2,1,21,9,8,50,30,20,72,2017,4.046553898385752,top5,65.78171091445428,Equilibrado(23 - 28),0.7805555555555556,44.0,13.0
corinthians,58.0,24.1,6.0,1.09,63.4,13,11,11,16,34,35,-1,44,2018,4.165113633110308,meio,12.811387900355854,Equilibrado(23 - 28),1.440909090909091,56.0,8.0
corinthians,54.0,23.5,6.0,1.13,60.8,8,14,14,10,42,34,8,56,2019,4.123903364463645,top10,-4.100946372239756,Equilibrado(23 - 28),1.0857142857142856,51.0,12.0
corinthians,57.0,23.7,8.0,1.99,113.45,12,13,12,13,45,45,0,51,2020,4.740138046398576,meio,86.59539473684212,Equilibrado(23 - 28),2.2245098039215687,57.0,5.0
corinthians,50.0,23.0,6.0,2.65,132.35,5,15,12,11,40,36,4,57,2021,4.892977250628023,top5,16.659321286910522,Jovem (Sub-23),2.3219298245614035,65.0,4.0
corinthians,52.0,24.2,7.0,2.54,131.9,4,18,11,9,44,36,8,65,2022,4.8895969657192,top5,-0.34000755572345387,Equilibrado(23 - 28),2.0292307692307694,50.0,13.0
corinthians,48.0,23.2,8.0,2.08,99.95,13,12,14,12,47,48,-1,50,2023,4.614625344758847,meio,-24.222896133434425,Equilibrado(23 - 28),1.999,56.0,7.0
corinthians,57.0,23.2,11.0,2.55,145.5,7,15,11,12,54,45,9,56,2024,4.987025428457122,top10,45.572786393196594,Equilibrado(23 - 28),2.5982142857142856,47.0,13.0
corinthians,47.0,23.2,11.0,2.24,105.4,13,12,11,15,42,47,-5,47,2025,4.667205576907544,meio,-27.560137457044664,Equilibrado(23 - 28),2.2425531914893617,,
coritiba,55.0,23.4,6.0,0.366,20.15,15,11,13,14,41,42,-1,46,2016,3.051639905492287,meio,0.0,Equilibrado(23 - 28),0.43804347826086953,43.0,17.0
coritiba,53.0,24.3,2.0,0.651,34.53,17,11,10,17,42,51,-9,43,2017,3.5703774100329357,bottom4,71.3647642679901,Equilibrado(23 - 28),0.8030232558139535,31.0,19.0
coritiba,61.0,24.0,4.0,0.581,35.45,19,7,10,21,31,54,-23,31,2020,3.5959414584546674,bottom4,2.6643498407182165,Equilibrado(23 - 28),1.1435483870967742,42.0,15.0
coritiba,54.0,23.6,8.0,0.475,25.63,15,12,6,20,39,60,-21,42,2022,3.282038399825841,meio,-27.700987306064885,Equilibrado(23 - 28),0.6102380952380952,30.0,19.0
coritiba,61.0,24.6,8.0,0.956,58.33,19,8,6,24,41,73,-32,30,2023,4.083115080270552,bottom4,127.5848614904409,Equilibrado(23 - 28),1.9443333333333332,,
criciuma,48.0,25.0,7.0,0.646,31.0,18,9,11,18,42,61,-19,38,2024,3.4657359027997265,bottom4,0.0,Equilibrado(23 - 28),0.8157894736842105,,
cruzeiro,51.0,23.3,8.0,1.1,56.35,12,14,9,15,48,49,-1,51,2016,4.04917284357538,meio,0.0,Equilibrado(23 - 28),1.1049019607843138,57.0,5.0
cruzeiro,50.0,23.6,6.0,1.77,88.4,5,15,12,11,47,39,8,57,2017,4.493120682179469,top5,56.87666370896185,Equilibrado(23 - 28),1.5508771929824563,53.0,8.0
cruzeiro,54.0,23.6,7.0,1.23,66.45,8,14,11,13,34,34,0,53,2018,4.211386582653765,top10,-24.83031674208145,Equilibrado(23 - 28),1.2537735849056604,36.0,17.0
cruzeiro,46.0,23.8,5.0,1.12,51.43,17,7,15,16,27,46,-19,36,2019,3.9594789465844413,bottom4,-22.603461249059443,Equilibrado(23 - 28),1.428611111111111,47.0,14.0
cruzeiro,51.0,23.5,1.0,1.23,62.75,14,11,14,13,35,32,3,47,2023,4.154969184038536,meio,22.010499708341435,Equilibrado(23 - 28),1.3351063829787233,52.0,9.0
cruzeiro,51.0,23.6,8.0,1.99,101.68,9,14,10,14,43,41,2,52,2024,4.6316173560029394,top10,62.039840637450204,Equilibrado(23 - 28),1.9553846153846155,70.0,3.0
cruzeiro,50.0,23.2,10.0,2.43,121.4,3,19,13,6,55,31,24,70,2025,4.807294370078226,top5,19.39417781274586,Equilibrado(23 - 28),1.7342857142857144,,
csa,62.0,26.1,8.0,0.463,28.7,19,8,8,22,24,58,-34,32,2019,3.391147045808654,bottom4,0.0,Equilibrado(23 - 28),0.896875,,
cuiaba,62.0,22.7,3.0,0.339,21.0,15,10,17,11,34,37,-3,47,2021,3.091042453358316,meio,0.0,Jovem (Sub-23),0.44680851063829785,41.0,16.0
cuiaba,63.0,22.8,3.0,0.425,26.75,16,10,11,17,31,42,-11,41,2022,3.3232358401924436,meio,27.380952380952372,Jovem (Sub-23),0.6524390243902439,51.0,12.0
cuiaba,46.0,24.2,3.0,0.465,21.38,12,14,9,15,40,39,1,51,2023,3.108167702883779,meio,-20.074766355140195,Equilibrado(23 - 28),0.4192156862745098,30.0,20.0
cuiaba,45.0,23.1,2.0,0.522,23.48,20,6,12,20,29,49,-20,30,2024,3.1978564576441255,bottom4,9.822263797942,Equilibrado(23 - 28),0.7826666666666667,,
figueirense,59.0,23.8,2.0,0.283,16.7,18,8,13,17,30,50,-20,37,2016,2.8735646395797834,bottom4,0.0,Equilibrado(23 - 28),0.45135135135135135,,
flamengo,42.0,24.3,6.0,1.47,61.9,2,20,11,7,52,35,17,71,2016,4.141546163706395,top5,0.0,Equilibrado(23 - 28),0.8718309859154929,56.0,6.0
flamengo,48.0,23.7,7.0,1.91,91.45,6,15,11,12,49,38,11,56,2017,4.5266679578331335,top10,47.73828756058158,Equilibrado(23 - 28),1.6330357142857144,72.0,2.0
flamengo,56.0,22.8,7.0,1.26,70.68,2,21,9,8,59,29,30,72,2018,4.272211768666675,top5,-22.711864406779657,Jovem (Sub-23),0.9816666666666668,90.0,1.0
flamengo,48.0,23.6,7.0,2.46,118.15,1,28,6,4,86,37,49,90,2019,4.780383203544751,top5,67.16185625353705,Equilibrado(23 - 28),1.3127777777777778,71.0,1.0
